T [s]	x [m]	y [m]	v [m/s]	angle	vx [m/s]	vy [m/s]	g [m/s^2]	
0	0	100	1234	12	1207,03	256,563	-9,81934	
1	0	100	1234	12	1207,03	256,563	-9,81934	
2	1207,03	351,653	1232	11,5533	1207,03	246,744	-9,81934	
3	2414,07	593,489	1230,07	11,1053	1207,03	236,926	-9,81857	
4	3621,1	825,509	1228,21	10,6559	1207,03	227,11	-9,81782	
5	4828,14	1047,72	1226,44	10,2053	1207,03	217,295	-9,81711	
6	6035,17	1260,11	1224,74	9,75344	1207,03	207,481	-9,81642	
7	7242,2	1462,69	1223,11	9,30042	1207,03	197,668	-9,81577	
8	8449,24	1655,47	1221,57	8,84627	1207,03	187,857	-9,81514	
9	9656,27	1838,44	1220,1	8,39105	1207,03	178,047	-9,81455	
10	10863,3	2011,6	1218,7	7,9348	1207,03	168,237	-9,81399	
11	12070,3	2174,96	1217,39	7,47758	1207,03	158,429	-9,81345	
12	13277,4	2328,51	1216,15	7,01943	1207,03	148,621	-9,81295	
13	14484,4	2472,26	1214,99	6,5604	1207,03	138,813	-9,81248	
14	15691,4	2606,2	1213,91	6,10056	1207,03	129,007	-9,81203	
15	16898,5	2730,34	1212,91	5,63994	1207,03	119,2	-9,81162	
16	18105,5	2844,68	1211,98	5,17861	1207,03	109,394	-9,81124	
17	19312,5	2949,21	1211,14	4,71662	1207,03	99,5888	-9,81089	
18	20519,6	3043,94	1210,37	4,25403	1207,03	89,7834	-9,81056	
19	21726,6	3128,87	1209,68	3,79088	1207,03	79,9781	-9,81027	
20	22933,6	3203,99	1209,07	3,32723	1207,03	70,1728	-9,81001	
21	24140,7	3269,3	1208,54	2,86315	1207,03	60,3674	-9,80978	
22	25347,7	3324,81	1208,09	2,39868	1207,03	50,5619	-9,80958	
23	26554,8	3370,51	1207,72	1,93388	1207,03	40,756	-9,80941	
24	27761,8	3406,4	1207,43	1,46881	1207,03	30,9499	-9,80927	
25	28968,8	3432,48	1207,22	1,00353	1207,03	21,1432	-9,80916	
26	30175,9	3448,74	1207,09	0,538088	1207,03	11,3361	-9,80908	
27	31382,9	3455,19	1207,04	0,0725463	1207,03	1,52831	-9,80903	
28	32589,9	3451,82	1207,06	-0,393039	1207,03	-8,28018	-9,80901	
29	33797	3438,63	1207,17	-0,858611	1207,03	-18,0895	-9,80902	
30	35004	3415,62	1207,36	-1,32411	1207,03	-27,8997	-9,80906	
31	36211	3382,78	1207,62	-1,78949	1207,03	-37,7109	-9,80913	
32	37418,1	3340,12	1207,97	-2,25467	1207,03	-47,5231	-9,80923	
33	38625,1	3287,62	1208,4	-2,71962	1207,03	-57,3365	-9,80936	
34	39832,1	3225,29	1208,9	-3,18427	1207,03	-67,1512	-9,80952	
35	41039,2	3153,13	1209,49	-3,64856	1207,03	-76,9673	-9,80971	
36	42246,2	3071,12	1210,15	-4,11244	1207,03	-86,7848	-9,80994	
37	43453,2	2979,27	1210,89	-4,57586	1207,03	-96,6038	-9,81019	
38	44660,3	2877,56	1211,72	-5,03875	1207,03	-106,424	-9,81047	
39	45867,3	2766,01	1212,62	-5,50107	1207,03	-116,247	-9,81079	
40	47074,3	2644,59	1213,6	-5,96275	1207,03	-126,071	-9,81113	
41	48281,4	2513,32	1214,66	-6,42374	1207,03	-135,897	-9,8115	
42	49488,4	2372,18	1215,8	-6,884	1207,03	-145,725	-9,81191	
43	50695,4	2221,16	1217,02	-7,34346	1207,03	-155,555	-9,81234	
44	51902,5	2060,27	1218,31	-7,80208	1207,03	-165,388	-9,81281	
45	53109,5	1889,5	1219,69	-8,25979	1207,03	-175,222	-9,8133	
46	54316,5	1708,84	1221,14	-8,71656	1207,03	-185,059	-9,81383	
47	55523,6	1518,28	1222,67	-9,17233	1207,03	-194,899	-9,81438	
48	56730,6	1317,83	1224,28	-9,62704	1207,03	-204,741	-9,81497	
49	57937,6	1107,47	1225,96	-10,0807	1207,03	-214,585	-9,81559	
50	59144,7	887,196	1227,72	-10,5331	1207,03	-224,433	-9,81624	
51	60351,7	657,007	1229,56	-10,9844	1207,03	-234,283	-9,81692	
52	61558,7	416,893	1231,48	-11,4344	1207,03	-244,136	-9,81762	
53	62765,8	166,848	1233,47	-11,8832	1207,03	-253,992	-9,81836	
------------------ END OF FILE ------------------
