Dati inseriti: x = 0; y = 100; v = 1000; teta = 1.6057
T [s]	x [m]	y [m]	v [m/s]	angle	vx [m/s]	vy [m/s]	g [m/s^2]	
0	0	100	1000	92	-34.8995	999.391	-9.81934	
1	-34.8995	1094.48	990.187	-4.62698	-34.8995	989.571	-9.81934	
2	-69.7989	2079.15	980.38	11.6505	-34.8995	979.758	-9.81628	
3	-104.698	3054.01	970.579	29.9466	-34.8995	969.951	-9.81324	
4	-139.598	4019.08	960.784	54.7256	-34.8995	960.15	-9.81024	
5	-174.497	4974.36	950.995	98.3141	-34.8995	950.354	-9.80727	
6	-209.397	5919.87	941.212	227.083	-34.8995	940.565	-9.80433	
7	-244.296	6855.6	931.435	-1725.46	-34.8995	930.781	-9.80143	
8	-279.196	7781.57	921.663	-176.806	-34.8995	921.002	-9.79855	
9	-314.095	8697.79	911.898	-84.9442	-34.8995	911.229	-9.79571	
10	-348.995	9604.26	902.137	-48.0158	-34.8995	901.462	-9.79289	
11	-383.894	10501	892.382	-25.4343	-34.8995	891.7	-9.79011	
12	-418.794	11388	882.633	-7.96921	-34.8995	881.943	-9.78736	
13	-453.693	12265.3	872.888	8.14604	-34.8995	872.191	-9.78464	
14	-488.593	13132.8	863.149	25.6222	-34.8995	862.444	-9.78195	
15	-523.492	13990.7	853.415	48.2266	-34.8995	852.701	-9.77929	
16	-558.392	14838.8	843.686	85.1808	-34.8995	842.964	-9.77666	
17	-593.291	15677.3	833.962	176.884	-34.8995	833.232	-9.77407	
18	-628.19	16506.1	824.243	1659.52	-34.8995	823.504	-9.7715	
19	-663.09	17325.1	814.528	-230.044	-34.8995	813.78	-9.76897	
20	-697.989	18134.5	804.819	-99.4732	-34.8995	804.062	-9.76646	
21	-732.889	18934.2	795.113	-55.5424	-34.8995	794.347	-9.76399	
22	-767.788	19724.3	785.413	-30.6807	-34.8995	784.637	-9.76154	
23	-802.688	20504.7	775.716	-12.4227	-34.8995	774.931	-9.75913	
24	-837.587	21275.4	766.024	3.69983	-34.8995	765.229	-9.75675	
25	-872.487	22036.5	756.337	20.4203	-34.8995	755.531	-9.75439	
26	-907.386	22788	746.653	40.9158	-34.8995	745.837	-9.75207	
27	-942.286	23529.8	736.974	71.8758	-34.8995	736.147	-9.74978	
28	-977.185	24261.9	727.298	137.256	-34.8995	726.46	-9.74752	
29	-1012.08	24984.4	717.627	483.305	-34.8995	716.778	-9.74528	
30	-1046.98	25697.3	707.959	-356.518	-34.8995	707.098	-9.74308	
31	-1081.88	26400.6	698.295	-122.787	-34.8995	697.423	-9.74091	
32	-1116.78	27094.3	688.635	-66.1569	-34.8995	687.75	-9.73877	
33	-1151.68	27778.3	678.979	-37.5382	-34.8995	678.081	-9.73666	
34	-1186.58	28452.7	669.326	-17.9143	-34.8995	668.415	-9.73458	
35	-1221.48	29117.5	659.676	-1.49916	-34.8995	658.752	-9.73253	
36	-1256.38	29772.7	650.03	14.6684	-34.8995	649.093	-9.7305	
37	-1291.28	30418.3	640.388	33.3655	-34.8995	639.436	-9.72851	
38	-1326.18	31054.3	630.748	59.4625	-34.8995	629.782	-9.72655	
39	-1361.08	31680.7	621.112	107.341	-34.8995	620.131	-9.72462	
40	-1395.98	32297.5	611.479	263.848	-34.8995	610.482	-9.72271	
41	-1430.88	32904.7	601.849	-914.702	-34.8995	600.836	-9.72084	
42	-1465.78	33502.3	592.222	-162.553	-34.8995	591.193	-9.719	
43	-1500.68	34090.3	582.598	-81.089	-34.8995	581.552	-9.71718	
44	-1535.58	34668.7	572.977	-46.284	-34.8995	571.913	-9.7154	
45	-1570.48	35237.5	563.359	-24.4518	-34.8995	562.277	-9.71365	
46	-1605.38	35796.8	553.743	-7.33372	-34.8995	552.642	-9.71192	
47	-1640.28	36346.4	544.131	8.5829	-34.8995	543.01	-9.71023	
48	-1675.17	36886.5	534.521	25.9061	-34.8995	533.38	-9.70856	
49	-1710.07	37417	524.913	48.3111	-34.8995	523.752	-9.70692	
50	-1744.97	37937.9	515.308	84.7576	-34.8995	514.125	-9.70532	
51	-1779.87	38449.2	505.706	173.683	-34.8995	504.5	-9.70374	
52	-1814.77	38951	496.106	1334.63	-34.8995	494.877	-9.70219	
53	-1849.67	39443.1	486.509	-241.66	-34.8995	485.255	-9.70067	
54	-1884.57	39925.7	476.914	-102.805	-34.8995	475.635	-9.69918	
55	-1919.47	40398.7	467.321	-57.4486	-34.8995	466.016	-9.69772	
56	-1954.37	40862.1	457.731	-32.1355	-34.8995	456.399	-9.69629	
57	-1989.27	41315.9	448.143	-13.7546	-34.8995	446.782	-9.69489	
58	-2024.17	41760.2	438.558	2.28788	-34.8995	437.167	-9.69352	
59	-2059.07	42194.8	428.975	18.6948	-34.8995	427.553	-9.69217	
60	-2093.97	42619.9	419.394	38.4336	-34.8995	417.939	-9.69086	
61	-2128.87	43035.4	409.815	67.4048	-34.8995	408.327	-9.68958	
