T [s]	x [m]	y [m]	v [m/s]	angle
0	0	213	456	45
1	0	213	456	45
2	322.441	530.536	449.117	44.115
3	644.881	838.261	442.344	43.2027
4	967.322	1136.18	435.687	42.2623
5	1289.76	1424.28	429.151	41.2929
6	1612.2	1702.58	422.742	40.2939
7	1934.64	1971.06	416.465	39.2644
8	2257.08	2229.74	410.326	38.2038
9	2579.53	2478.61	404.333	37.1114
10	2901.97	2717.66	398.49	35.9865
11	3224.41	2946.91	392.806	34.8286
12	3546.85	3166.34	387.287	33.6372
13	3869.29	3375.97	381.941	32.4119
14	4191.73	3575.78	376.773	31.1523
15	4514.17	3765.79	371.793	29.8585
16	4836.61	3945.99	367.008	28.5301
17	5159.05	4116.37	362.425	27.1675
18	5481.49	4276.95	358.052	25.7707
19	5803.93	4427.71	353.897	24.3403
20	6126.37	4568.67	349.968	22.8768
21	6448.81	4699.81	346.273	21.3811
22	6771.25	4821.15	342.818	19.8542
23	7093.7	4932.68	339.612	18.2974
24	7416.14	5034.39	336.661	16.712
25	7738.58	5126.3	333.972	15.0999
26	8061.02	5208.39	331.552	13.463
27	8383.46	5280.68	329.406	11.8033
28	8705.9	5343.15	327.54	10.1233
29	9028.34	5395.82	325.959	8.42553
30	9350.78	5438.67	324.666	6.71273
31	9673.22	5471.72	323.666	4.98779
32	9995.66	5494.96	322.961	3.25375
33	10318.1	5508.38	322.553	1.51372
34	10640.5	5512	322.443	-0.229102
35	10963	5505.8	322.632	-1.9715
36	11285.4	5489.8	323.118	-3.71026
37	11607.9	5463.98	323.901	-5.44221
38	11930.3	5428.36	324.978	-7.16424
39	12252.7	5382.93	326.347	-8.87337
40	12575.2	5327.68	328.003	-10.5667
41	12897.6	5262.63	329.943	-12.2416
42	13220.1	5187.76	332.161	-13.8955
43	13542.5	5103.09	334.653	-15.5262
44	13864.9	5008.6	337.411	-17.1314
45	14187.4	4904.31	340.43	-18.7094
46	14509.8	4790.21	343.702	-20.2585
47	14832.3	4666.29	347.221	-21.7774
48	15154.7	4532.57	350.979	-23.2647
49	15477.2	4389.03	354.968	-24.7195
50	15799.6	4235.69	359.181	-26.1411
51	16122	4072.53	363.61	-27.529
52	16444.5	3899.57	368.247	-28.8826
53	16766.9	3716.8	373.084	-30.2019
54	17089.4	3524.21	378.114	-31.4867
55	17411.8	3321.82	383.329	-32.7372
56	17734.2	3109.61	388.722	-33.9536
57	18056.7	2887.6	394.285	-35.1362
58	18379.1	2655.77	400.011	-36.2853
59	18701.6	2414.14	405.894	-37.4017
60	19024	2162.7	411.926	-38.4857
61	19346.4	1901.44	418.101	-39.538
62	19668.9	1630.38	424.414	-40.5594
63	19991.3	1349.5	430.857	-41.5506
64	20313.8	1058.82	437.425	-42.5123
65	20636.2	758.324	444.113	-43.4452
66	20958.6	448.02	450.916	-44.3503
67	21281.1	127.905	457.827	-45.2282
 POSIZIONI NOTEVOLI 
       ALTEZZA MASSIMA RAGGIUNTA        
132.782	42814.5	0	1031.83	-71.7904
